City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kingscliff,-28.2667,153.5667,288.04,100,100,2.57,AU,1689613073
84,korolevo,48.1525,23.1366,302.93,58,57,1.79,UA,1689613073
85,saipan,15.1355,145.701,300.73,100,20,3.09,MP,1689613074
86,olonkinbyen,70.9221,-8.7187,277.86,97,100,10.36,SJ,1689613074
87,weno,7.4515,151.8468,299.12,94,75,0.0,FM,1689613074
88,cabo san lucas,22.8909,-109.9124,309.6,67,20,4.38,MX,1689612956
89,severo-yeniseyskiy,60.3725,93.0408,281.97,70,4,0.64,RU,1689613075
90,siesta key,27.302,-82.5515,307.09,59,0,5.66,US,1689613075
91,bilibino,68.0546,166.4372,292.33,56,51,1.26,RU,1689612946
92,anadyr,64.75,177.4833,288.43,82,0,4.0,RU,1689613076
93,kapenguria,1.2511,35.0895,290.04,70,76,2.44,KE,1689613076
94,college,64.8569,-147.8028,291.53,78,75,3.09,US,1689613077
95,blackmans bay,-43.0167,147.3167,284.22,66,50,4.49,AU,1689613077
96,serro,-18.6047,-43.3794,302.41,31,33,1.05,BR,1689613077
97,east london,-33.0153,27.9116,287.67,94,0,1.03,ZA,1689612870
98,nizhniy ingash,56.2,96.53,285.34,97,49,0.56,RU,1689613078
99,grytviken,-54.2811,-36.5092,268.43,86,100,2.33,GS,1689612937
100,alofi,-19.0595,-169.9187,293.09,94,100,4.12,NU,1689613079
101,port mathurin,-19.6833,63.4167,296.65,76,62,12.82,MU,1689613079
102,ambon,-3.6954,128.1814,301.06,61,40,4.12,ID,1689613079
103,bardai,11.65,7.2333,306.55,36,72,2.19,NG,1689612935
104,muyinga,-2.8333,30.3333,291.93,40,43,1.91,BI,1689613080
105,usogorsk,63.4106,48.6872,294.23,57,98,1.11,RU,1689613080
106,punta arenas,-53.15,-70.9167,277.21,81,75,4.12,CL,1689613081
107,aleksandrovsk-sakhalinskiy,50.8975,142.1561,286.58,94,4,3.11,RU,1689613086
108,kushalgarh,23.199,74.4507,301.14,77,98,4.71,IN,1689613086
109,severnoye,56.3491,78.3619,290.19,65,56,2.43,RU,1689613087
110,fort bragg,35.139,-79.006,305.88,61,20,2.68,US,1689613087
111,newala kisimani,-10.95,39.2833,292.43,69,84,3.98,TZ,1689613088
112,avarua,-21.2078,-159.775,292.18,94,100,3.09,CK,1689613088
113,mont-dore,-22.2833,166.5833,294.26,99,89,5.62,NC,1689613089
114,holualoa,19.6228,-155.9522,299.19,77,20,2.24,US,1689613089
115,puerto ayora,-0.7393,-90.3518,299.57,91,59,4.47,EC,1689613089
116,melo,-32.3667,-54.1833,283.68,49,1,5.14,UY,1689613090
117,balikesir,39.75,28.0,301.13,42,0,6.69,TR,1689612793
118,revelstoke,50.9832,-118.2023,291.16,88,100,1.54,CA,1689613090
119,hailun,47.45,126.9333,289.62,95,86,1.12,CN,1689613091
120,atafu village,-8.5421,-172.5159,301.91,75,100,6.35,TK,1689612864
121,ariquemes,-9.9133,-63.0408,308.8,29,23,1.94,BR,1689613092
122,remire-montjoly,4.9167,-52.2667,303.17,66,40,6.69,GF,1689613092
123,port sudan,19.6175,37.2164,309.33,31,47,2.85,SD,1689612913
124,lompoc,34.6391,-120.4579,299.7,100,75,0.0,US,1689612803
125,tarauaca,-8.1614,-70.7656,308.2,40,47,0.76,BR,1689613093
